X,Y,Z,A,T,S
0.02,1.00,0.04,0.00,0.12,39
0.00,0.98,0.07,0.00,0.12,39
-0.01,1.04,0.12,0.02,0.12,39
0.00,0.96,0.13,0.01,0.12,39
-0.02,0.94,0.21,0.01,0.12,39
-0.08,0.93,0.18,0.00,0.12,39
-0.04,0.91,0.28,0.00,0.12,39
-0.12,0.95,0.35,0.00,0.12,39
-0.09,0.88,0.36,0.00,0.12,39
-0.07,0.81,0.37,0.00,0.12,39
-0.06,0.92,0.49,0.00,0.12,39
0.11,1.15,0.43,0.08,0.12,39
0.07,0.74,-0.24,0.04,0.12,39
-0.15,1.00,-0.27,0.02,0.12,39
-0.15,0.93,-0.14,0.01,0.12,39
-0.22,0.94,-0.10,0.00,0.12,39
-0.12,0.95,-0.12,0.00,0.12,39
-0.24,1.02,-0.13,0.01,0.12,39
-0.16,1.01,-0.14,0.01,0.12,39
-0.28,1.20,-0.22,0.10,0.12,39
0.12,0.80,-0.08,0.05,0.12,39
-0.23,1.15,0.13,0.10,0.12,39
-0.06,0.84,0.15,0.05,0.12,39
-0.07,0.81,0.22,0.03,0.12,39
-0.06,0.78,0.27,0.01,0.12,39
-0.18,1.03,0.43,0.02,0.12,39
0.08,1.14,0.44,0.08,0.12,39
-0.12,0.58,-0.17,0.04,0.12,39
-0.40,1.06,-0.27,0.05,0.12,39
-0.23,1.02,-0.13,0.03,0.12,39
-0.15,0.93,-0.11,0.02,0.12,39
-0.15,0.89,-0.17,0.01,0.12,39
-0.17,0.98,-0.20,0.00,0.12,39
-0.31,1.06,-0.19,0.03,0.12,39
-0.14,1.13,-0.17,0.08,0.12,39
0.20,1.01,0.03,0.04,0.12,39
-0.07,0.93,0.13,0.02,0.12,39
-0.06,0.85,0.25,0.01,0.12,39
-0.03,0.71,0.26,0.01,0.12,39
-0.12,1.01,0.38,0.01,0.12,39
-0.08,0.87,0.47,0.00,0.12,39
-0.03,1.19,0.10,0.10,0.12,39
-0.19,0.86,-0.12,0.05,0.12,39
0.00,0.97,-0.08,0.02,0.12,39
-0.17,0.95,-0.16,0.01,0.12,39
-0.14,0.94,-0.13,0.01,0.12,39
-0.20,0.98,-0.19,0.00,0.12,39
-0.22,1.03,-0.10,0.02,0.12,39
-0.18,1.13,-0.17,0.07,0.12,39
0.07,1.02,0.02,0.05,0.12,39
-0.05,0.85,0.10,0.02,0.12,39
-0.10,0.84,0.22,0.01,0.12,39
-0.02,0.76,0.24,0.01,0.12,39
-0.14,1.06,0.44,0.03,0.12,39
-0.04,0.91,0.49,0.02,0.12,39
-0.08,0.94,0.03,0.01,0.12,39
-0.42,1.03,-0.19,0.02,0.12,39
-0.10,0.97,-0.06,0.01,0.12,39
-0.22,0.95,-0.10,0.00,0.12,39
-0.11,0.96,-0.12,0.00,0.12,39
-0.23,1.00,-0.16,0.00,0.12,39
-0.20,1.12,-0.00,0.06,0.12,39
0.06,1.01,-0.11,0.04,0.12,39
-0.01,1.13,-0.07,0.08,0.12,39
-0.00,-0.02,0.36,0.04,0.12,39
-0.52,2.35,0.25,0.70,0.12,39
0.05,0.14,-0.03,0.35,0.12,39
-0.12,-0.07,0.08,0.17,0.12,39
-0.07,1.46,0.25,0.32,0.12,39
0.16,1.13,-0.15,0.22,0.13,39
-0.01,-0.16,0.12,0.11,0.13,40
-0.08,-0.08,0.02,0.06,0.13,40
0.07,4.00,1.45,1.53,0.13,40
0.14,0.60,0.11,0.76,0.14,40
0.07,-0.26,0.03,0.38,0.14,40
-0.11,0.20,0.11,0.19,0.14,40
0.40,2.05,0.29,0.62,0.15,40
-0.22,0.41,-0.04,0.31,0.15,40
0.17,-0.27,0.11,0.16,0.15,40
-0.87,4.00,1.25,1.58,0.16,40
-0.11,0.62,-0.07,0.79,0.16,40
-0.00,0.69,-0.00,0.39,0.16,40
-0.28,1.42,-0.01,0.40,0.16,40
-0.00,0.82,-0.13,0.20,0.17,40
-0.06,0.97,-0.05,0.10,0.17,41
-0.02,1.01,-0.09,0.06,0.17,41
-0.04,0.97,-0.09,0.03,0.17,41
-0.05,0.99,-0.14,0.01,0.17,41
-0.02,1.01,-0.07,0.01,0.16,41
