Steps,Delta,SPM,Activity,Secs
4720,0,0,1,15414
4720,0,0,1,15444
4720,0,0,1,15474
4728,8,15,1,15504
4768,40,79,1,15534
4770,2,200,3,15534
4770,0,0,1,15535
4774,4,7,1,15564
4774,0,0,1,15594
4774,0,0,1,15624
4774,0,0,1,15654
4774,0,0,1,15684
4774,0,0,1,15714
4774,0,0,1,15744
4774,0,0,1,15774
4782,8,15,1,15804
4782,0,0,1,15834
4782,0,0,1,15864
4782,0,0,1,15894
4782,0,0,1,15925
4782,0,0,1,15955
4782,0,0,1,15985
4782,0,0,1,16015
4782,0,0,1,16045
4782,0,0,1,16075
4782,0,0,1,16105
4782,0,0,1,16135
4782,0,0,1,16165
4782,0,0,1,16195
4782,0,0,1,16225
4782,0,0,1,16255
4782,0,0,1,16285
4782,0,0,1,16315
4782,0,0,1,16345
4790,8,15,1,16375
4792,2,3,1,16405
4792,0,0,1,16435
4792,0,0,1,16465
4792,0,0,1,16495
4792,0,0,1,16525
4792,0,0,1,16555
4814,22,43,1,16586
4816,2,3,1,16616
4818,2,3,1,16646
4820,2,3,1,16676
4820,0,0,1,16706
4820,0,0,1,16736
4820,0,0,1,16766
4820,0,0,1,16796
4820,0,0,1,16826
4820,0,0,1,16856
4820,0,0,1,16886
4838,18,35,1,16916
4848,10,19,1,16946
4848,0,0,1,16976
4848,0,0,1,17006
4852,4,7,1,17036
4852,0,0,1,17066
4852,0,0,1,17096
4852,0,0,1,17126
4852,0,0,1,17156
4852,0,0,1,17186
4858,6,11,1,17216
4866,8,15,1,17246
4870,4,7,1,17276
4870,0,0,1,17306
4870,0,0,1,17336
4870,0,0,1,17367
4870,0,0,1,17397
4870,0,0,1,17427
4870,0,0,1,17457
4880,10,19,1,17487
4884,4,7,1,17517
4884,0,0,1,17547
4884,0,0,1,17577
4890,6,11,1,17607
4890,0,0,1,17637
4890,0,0,1,17667
4890,0,0,1,17697
4890,0,0,1,17727
4890,0,0,1,17757
4890,0,0,1,17787
4890,0,0,1,17817
4890,0,0,1,17847
4890,0,0,1,17877
4890,0,0,1,17907
4890,0,0,1,17937
4904,14,27,1,17967
4904,0,0,1,17997
4906,2,3,1,18027
4906,0,0,1,18058
4908,2,3,1,18088
4908,0,0,1,18118
4908,0,0,1,18148
4910,2,3,1,18178
4910,0,0,1,18208
4910,0,0,1,18238
4910,0,0,1,18268
4910,0,0,1,18298
4910,0,0,1,18328
4910,0,0,1,18358
4910,0,0,1,18388
4910,0,0,1,18418
4910,0,0,1,18448
4910,0,0,1,18478
4910,0,0,1,18508
4910,0,0,1,18538
4918,8,15,1,18568
4926,8,120,2,18572
4926,0,0,1,18572
4930,4,7,1,18598
4930,0,0,1,18628
4930,0,0,1,18658
4930,0,0,1,18688
4930,0,0,1,18718
4930,0,0,1,18748
4930,0,0,1,18778
4930,0,0,1,18808
4930,0,0,1,18838
4930,0,0,1,18868
4930,0,0,1,18898
4930,0,0,1,18929
4930,0,0,1,18959
4930,0,0,1,18989
4930,0,0,1,19019
4930,0,0,1,19049
4930,0,0,1,19079
4930,0,0,1,19109
4930,0,0,1,19139
4930,0,0,1,19169
4946,16,31,1,19199
4954,8,15,1,19229
4954,0,0,1,19259
4954,0,0,1,19289
4954,0,0,1,19319
4954,0,0,1,19349
4954,0,0,1,19379
4954,0,0,1,19409
4954,0,0,1,19439
4954,0,0,1,19470
4960,6,11,1,19500
4964,4,7,1,19530
4964,0,0,1,19560
